inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median;distMip_min;distMip_max;distMip_std;distMip_mean;distMip_median;cpuMip_min;cpuMip_max;cpuMip_std;cpuMip_mean;cpuMip_median;distIg_min;distIg_max;distIg_std;distIg_mean;distIg_median
C101_C5x;385.491;385.491;0.0;385.491;385.491;0.111;0.123;0.003;0.115;0.115;14;19;1.398;17.2;17.5;385.491;385.491;0.0;385.491;385.491;0.001;0.002;0.0;0.001;0.001;385.491;385.491;0.0;385.491;385.491
C103_C5x;341.334;341.334;0.0;341.334;341.334;0.108;0.117;0.004;0.112;0.112;3;4;0.516;3.4;3.0;341.334;341.334;0.0;341.334;341.334;0.001;0.001;0.0;0.001;0.001;341.334;341.334;0.0;341.334;341.334
C206_C5x;417.307;417.307;0.0;417.307;417.307;0.138;0.147;0.003;0.144;0.146;3;4;0.316;3.9;4.0;417.307;417.307;0.0;417.307;417.307;0.001;0.001;0.0;0.001;0.001;417.307;417.307;0.0;417.307;417.307
C208_C5x;381.913;381.913;0.0;381.913;381.913;0.175;0.189;0.004;0.183;0.183;1;1;0.0;1.0;1.0;381.913;381.913;0.0;381.913;381.913;0.001;0.001;0.0;0.001;0.001;381.913;381.913;0.0;381.913;381.913
R104_C5x;317.021;317.021;0.0;317.021;317.021;0.159;0.167;0.003;0.164;0.164;4;5;0.422;4.2;4.0;317.021;317.021;0.0;317.021;317.021;0.001;0.001;0.0;0.001;0.001;317.021;317.021;0.0;317.021;317.021
R105_C5x;453.739;453.739;0.0;453.739;453.739;0.213;0.23;0.005;0.223;0.226;11;14;0.994;12.9;13.0;453.739;453.739;0.0;453.739;453.739;0.001;0.002;0.0;0.002;0.002;453.739;453.739;0.0;453.739;453.739
R202_C5x;347.817;348.451;0.2;347.88;347.817;0.141;0.157;0.005;0.144;0.144;2;2;0.0;2.0;2.0;347.817;348.451;0.2;347.88;347.817;0.001;0.001;0.0;0.001;0.001;347.817;348.451;0.2;347.88;347.817
R203_C5x;371.306;371.306;0.0;371.306;371.306;0.129;0.137;0.003;0.134;0.135;1;1;0.0;1.0;1.0;371.306;371.306;0.0;371.306;371.306;0.001;0.001;0.0;0.001;0.001;371.306;371.306;0.0;371.306;371.306
RC105_C5x;432.635;432.635;0.0;432.635;432.635;0.114;0.124;0.004;0.119;0.121;31;36;1.647;34.4;35.0;432.635;432.635;0.0;432.635;432.635;0.002;0.002;0.0;0.002;0.002;432.635;432.635;0.0;432.635;432.635
RC108_C5x;460.892;524.268;30.217;480.586;460.892;0.116;0.136;0.007;0.123;0.118;2;12;3.629;4.5;2.0;460.892;524.268;30.217;480.586;460.892;0.001;0.001;0.0;0.001;0.001;460.892;524.268;30.217;480.586;460.892
RC204_C5x;334.9;334.9;0.0;334.9;334.9;0.112;0.117;0.001;0.115;0.114;1;4;1.101;2.1;2.0;334.9;334.9;0.0;334.9;334.9;0.001;0.001;0.0;0.001;0.001;334.9;334.9;0.0;334.9;334.9
RC208_C5x;327.295;327.295;0.0;327.295;327.295;0.204;0.212;0.003;0.207;0.207;76;82;1.889;77.7;77.0;327.295;327.295;0.0;327.295;327.295;0.002;0.002;0.0;0.002;0.002;327.295;327.295;0.0;327.295;327.295
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C101_C10x;538.314;538.959;0.34;538.636;538.636;0.71;0.796;0.026;0.752;0.755;1111;1271;42.51;1201.2;1198.5;538.314;538.959;0.34;538.636;538.636;0.009;0.011;0.001;0.009;0.009;539.726;539.726;0.0;539.726;539.726
C104_C10x;484.319;484.319;0.0;484.319;484.319;0.643;0.771;0.044;0.69;0.673;1205;2153;359.262;1454.6;1300.0;484.319;484.319;0.0;484.319;484.319;0.03;0.058;0.01;0.039;0.036;484.319;484.319;0.0;484.319;484.319
C202_C10x;425.532;425.532;0.0;425.532;425.532;0.57;0.635;0.021;0.595;0.591;1084;1492;127.427;1272.4;1250.5;425.532;425.532;0.0;425.532;425.532;0.041;0.061;0.006;0.051;0.05;425.532;434.264;4.509;429.025;425.532
C205_C10x;415.475;415.475;0.0;415.475;415.475;0.589;0.648;0.017;0.617;0.62;1049;1154;27.616;1102.8;1107.5;415.475;415.475;0.0;415.475;415.475;0.018;0.022;0.001;0.02;0.02;415.475;416.106;0.2;416.043;416.106
R102_C10x;505.498;505.498;0.0;505.498;505.498;0.484;0.581;0.029;0.51;0.5;208;278;21.681;243.5;245.0;505.498;505.498;0.0;505.498;505.498;0.004;0.005;0.0;0.004;0.004;505.498;505.498;0.0;505.498;505.498
R103_C10x;436.075;436.075;0.0;436.075;436.075;0.496;0.52;0.007;0.514;0.516;697;781;25.101;743.4;737.5;436.075;436.075;0.0;436.075;436.075;0.017;0.025;0.002;0.021;0.02;436.075;436.075;0.0;436.075;436.075
R201_C10x;460.712;460.712;0.0;460.712;460.712;0.882;1.044;0.042;0.97;0.976;2462;2889;117.259;2720.3;2733.0;460.712;460.712;0.0;460.712;460.712;0.1;0.132;0.01;0.114;0.114;460.712;466.029;1.681;465.497;466.029
R203_C10x;446.966;447.105;0.067;447.008;446.966;0.892;1.021;0.047;0.95;0.956;26;49;8.217;36.2;36.5;446.966;448.231;0.395;447.12;446.966;0.002;0.002;0.0;0.002;0.002;446.966;448.231;0.395;447.12;446.966
RC102_C10x;625.33;625.33;0.0;625.33;625.33;0.51;0.603;0.024;0.557;0.554;288;330;13.302;306.5;310.5;625.33;625.33;0.0;625.33;625.33;0.003;0.004;0.0;0.004;0.004;625.33;625.33;0.0;625.33;625.33
RC108_C10x;559.883;559.883;0.0;559.883;559.883;0.411;0.445;0.012;0.423;0.42;187;324;40.186;246.7;243.5;559.883;559.883;0.0;559.883;559.883;0.004;0.006;0.001;0.005;0.005;559.883;559.883;0.0;559.883;559.883
RC201_C10x;495.536;495.866;0.159;495.635;495.536;1.158;1.333;0.059;1.246;1.241;2453;2808;99.199;2554.2;2537.5;495.536;495.866;0.159;495.635;495.536;0.078;0.087;0.003;0.083;0.084;495.866;495.866;0.0;495.866;495.866
RC205_C10x;576.165;576.842;0.285;576.707;576.842;0.906;1.057;0.044;0.985;0.99;1159;1516;105.749;1361.0;1356.5;576.165;576.842;0.285;576.707;576.842;0.02;0.033;0.004;0.026;0.026;576.842;576.842;0.0;576.842;576.842
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C103_C15x;575.182;585.876;3.448;583.382;585.203;2.927;3.609;0.212;3.26;3.274;5794;7082;415.005;6520.1;6511.0;575.182;585.876;3.448;583.382;585.203;1.0;1.233;0.071;1.14;1.142;579.335;586.021;2.595;584.23;585.876
C106_C15x;516.603;516.603;0.0;516.603;516.603;1.733;3.368;0.575;2.557;2.692;2844;5106;864.618;4074.5;4385.5;516.603;516.603;0.0;516.603;516.603;0.614;1.233;0.236;0.955;1.056;516.603;520.643;1.952;519.431;520.643
C202_C15x;550.583;565.473;4.337;554.973;555.418;0.788;3.389;0.933;2.081;2.17;1094;5075;1483.134;3190.0;3502.5;550.583;565.473;4.337;554.973;555.418;0.102;1.084;0.365;0.564;0.604;555.418;609.27;16.972;566.911;560.446
C208_C15x;550.016;556.576;2.766;551.328;550.016;0.621;3.593;1.197;1.791;1.562;753;5028;1647.254;2506.9;2250.0;550.016;556.576;2.766;551.328;550.016;0.136;1.368;0.493;0.611;0.473;550.016;606.703;23.364;562.665;550.016
R102_C15x;698.719;704.048;1.897;701.928;701.856;0.487;0.699;0.065;0.612;0.612;428;883;154.955;697.4;676.5;698.719;704.048;1.897;701.928;701.856;0.015;0.031;0.005;0.023;0.023;706.707;720.98;4.494;710.742;709.972
R105_C15x;607.961;613.553;1.76;608.546;607.968;0.134;0.216;0.023;0.166;0.166;200;475;76.687;351.5;365.0;607.961;613.553;1.76;608.546;607.968;0.011;0.026;0.004;0.018;0.018;607.968;613.553;1.726;610.948;611.327
R202_C15x;593.715;593.715;0.0;593.715;593.715;0.476;0.701;0.067;0.569;0.554;685;1102;128.665;848.9;832.5;593.715;593.715;0.0;593.715;593.715;0.099;0.171;0.024;0.13;0.13;593.715;593.738;0.012;593.724;593.715
R209_C15x;475.099;519.179;13.653;480.888;476.607;0.474;1.381;0.304;0.87;0.865;351;1403;357.301;846.6;809.5;475.099;532.182;22.467;489.371;476.607;0.048;0.581;0.181;0.275;0.262;475.099;540.809;30.071;496.563;479.744
RC103_C15x;607.38;618.389;3.204;616.21;617.041;0.661;1.61;0.289;1.026;1.05;1007;3365;769.327;1937.4;1932.0;614.795;618.389;1.101;616.951;617.041;0.057;0.233;0.059;0.125;0.134;616.323;620.714;1.491;618.484;618.389
RC108_C15x;603.872;607.878;1.338;605.831;605.765;0.545;1.074;0.176;0.9;0.97;1072;2138;342.218;1680.8;1792.5;603.872;607.878;1.338;605.831;605.765;0.038;0.092;0.016;0.065;0.064;609.276;616.232;2.215;615.347;616.232
RC202_C15x;552.699;553.534;0.424;553.205;553.534;0.707;4.316;1.231;2.038;1.83;1202;5337;1658.857;2875.9;2429.5;552.699;553.534;0.424;553.205;553.534;0.144;2.306;0.691;0.786;0.598;553.534;553.534;0.0;553.534;553.534
RC204_C15x;485.339;506.141;6.861;492.305;492.109;0.325;1.747;0.42;0.906;0.94;376;2363;564.328;1188.7;1146.5;485.339;506.141;6.885;492.438;492.769;0.022;0.834;0.239;0.336;0.356;491.397;513.406;8.8;501.631;502.95
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C101_21x;1470.398;1505.96;10.848;1487.42;1487.802;14.266;43.29;8.461;32.672;32.92;4066;11250;2096.491;8745.9;8735.5;1470.398;1505.96;11.444;1488.541;1487.802;2.279;3.928;0.517;3.35;3.341;1519.363;1591.648;20.97;1553.751;1552.847
C102_21x;1437.225;1471.388;10.962;1452.699;1454.295;14.865;52.816;11.347;35.704;35.466;3999;14000;3159.25;9590.9;10053.0;1437.225;1471.388;10.932;1452.723;1454.295;2.03;6.649;1.563;4.597;4.466;1481.553;1549.247;20.832;1510.967;1506.902
C103_21x;1399.282;1415.408;4.972;1401.548;1399.701;40.879;64.978;7.238;54.588;55.308;11285;16864;1722.786;14545.7;14850.0;1399.282;1415.408;4.972;1401.548;1399.701;4.355;8.08;1.007;5.788;5.578;1443.701;1470.385;8.379;1455.567;1456.546
C104_21x;1383.547;1401.017;6.306;1394.069;1395.446;70.545;80.613;4.02;76.0;76.378;15838;18197;663.981;17382.4;17390.5;1383.547;1401.305;6.434;1394.321;1395.446;6.762;9.58;0.938;8.096;8.072;1427.615;1467.811;14.378;1445.777;1442.191
C105_21x;1448.496;1472.504;8.22;1457.353;1456.538;55.047;92.324;13.597;76.044;78.42;8517;13868;1749.173;11608.2;11946.5;1448.496;1472.504;8.224;1457.484;1456.538;3.45;5.112;0.545;4.284;4.222;1492.915;1558.309;22.74;1531.809;1532.698
C106_21x;1426.899;1457.915;10.273;1435.53;1433.97;52.192;69.495;6.238;61.19;62.433;10406;14287;1430.422;12382.0;12687.5;1426.899;1457.915;9.816;1436.931;1436.405;4.033;6.503;0.787;4.947;4.81;1475.113;1529.929;17.101;1495.857;1495.639
C107_21x;1442.999;1460.501;5.591;1449.053;1448.842;57.586;85.495;8.488;74.002;75.75;9781;15780;1737.873;12969.9;12975.5;1442.999;1460.501;5.899;1449.725;1448.842;3.88;5.78;0.565;5.119;5.079;1489.748;1546.479;19.34;1516.242;1508.192
C108_21x;1413.32;1430.734;4.517;1421.951;1422.352;53.034;77.663;7.559;62.549;62.969;11778;16780;1491.288;14116.9;13727.5;1413.511;1432.048;4.91;1422.835;1422.574;4.324;7.219;0.779;5.557;5.514;1457.278;1506.363;14.734;1479.849;1479.162
C109_21x;1400.28;1410.388;3.937;1405.082;1406.564;63.19;80.203;5.046;69.488;69.74;14747;17884;1070.945;16224.7;16410.0;1400.28;1410.388;3.941;1405.104;1406.674;5.954;7.84;0.569;7.037;6.993;1448.25;1486.045;12.948;1461.695;1457.585
C201_21x;1199.53;1208.282;2.17;1203.194;1202.756;41.563;51.683;2.86;46.232;46.65;14642;17519;947.362;16088.6;16144.0;1199.53;1208.282;2.17;1203.194;1202.756;10.019;12.197;0.955;11.132;11.112;1225.791;1238.225;3.946;1228.395;1226.619
C202_21x;1177.583;1198.047;7.371;1184.18;1181.712;48.671;63.439;5.034;53.259;50.836;16087;21483;1607.973;17339.3;16852.0;1177.583;1198.047;7.132;1184.57;1181.712;10.251;16.512;1.641;13.525;13.189;1211.669;1224.81;4.965;1217.608;1218.882
C203_21x;1157.107;1181.306;7.439;1164.224;1161.364;51.825;74.601;6.956;59.1;57.296;17285;22011;1376.896;18640.4;18550.5;1157.771;1181.306;7.303;1164.481;1161.884;11.383;20.184;2.804;14.071;13.138;1196.497;1216.441;7.048;1205.031;1204.111
C204_21x;1129.305;1148.268;5.789;1135.34;1133.77;46.347;68.691;6.818;54.903;57.039;16414;23455;2005.547;18516.1;18322.5;1129.305;1148.268;5.659;1135.816;1135.355;9.846;15.877;2.174;13.258;13.56;1163.894;1206.677;13.925;1186.972;1183.971
C205_21x;1186.623;1205.855;6.549;1195.101;1193.955;48.513;61.3;4.236;53.367;52.724;16095;18573;716.134;17308.2;17157.5;1186.623;1205.855;6.976;1195.61;1193.955;9.676;14.335;1.438;11.499;11.116;1213.853;1233.848;6.658;1222.796;1222.582
C206_21x;1170.415;1181.092;4.398;1175.612;1174.701;48.579;78.361;7.938;57.894;56.26;17584;23954;1730.503;19261.5;18849.5;1170.415;1181.092;4.088;1175.923;1174.701;9.898;14.387;1.162;11.972;11.986;1199.291;1226.465;8.784;1211.834;1212.11
C207_21x;1155.385;1166.251;3.843;1160.747;1160.892;55.444;61.419;1.921;58.406;58.25;16118;18998;893.278;17496.4;17515.5;1155.385;1166.908;4.111;1160.939;1160.892;13.72;17.201;1.315;15.329;15.706;1181.492;1211.428;9.919;1196.64;1197.841
C208_21x;1156.769;1170.738;4.9;1160.782;1159.119;44.427;57.81;4.17;50.202;49.314;16977;18750;597.886;17724.9;17600.5;1156.769;1170.738;4.794;1161.088;1159.855;9.483;20.614;3.259;12.604;11.903;1178.849;1207.7;9.513;1196.413;1198.093
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
R101_21x;1706.896;1733.948;8.012;1715.258;1714.352;17.387;30.318;4.068;24.161;24.658;4347;6895;784.761;5402.8;5326.0;1706.896;1745.766;11.41;1716.995;1714.352;1.42;2.179;0.258;1.844;1.85;1716.773;1759.019;12.028;1730.687;1727.58
R102_21x;1574.977;1595.455;6.268;1580.694;1580.244;14.708;28.87;4.839;23.108;24.592;3366;7108;1353.096;5829.3;6302.5;1574.977;1599.759;7.989;1583.395;1583.206;1.103;3.817;0.65;2.369;2.315;1584.314;1641.401;20.43;1605.993;1601.903
R103_21x;1460.496;1642.852;55.334;1494.609;1472.358;10.136;25.697;4.189;19.334;19.49;406;9173;2271.927;5740.1;6111.5;1460.496;1664.756;61.901;1496.883;1472.42;0.09;4.258;1.171;2.669;2.629;1474.493;1676.794;56.044;1528.397;1517.994
R104_21x;1401.185;1423.732;7.245;1407.94;1405.274;12.786;31.829;5.078;21.571;20.33;2159;10754;2464.722;6940.5;6709.5;1401.185;1423.732;7.18;1408.201;1405.362;1.016;5.113;1.098;3.228;3.08;1431.223;1455.803;7.289;1442.764;1441.992
R105_21x;1585.686;1676.564;26.476;1606.072;1598.868;16.124;23.321;2.544;19.381;18.978;4774;7170;843.872;5997.8;5974.5;1585.686;1676.564;26.476;1606.072;1598.868;1.702;2.678;0.337;2.169;2.129;1608.725;1695.079;25.757;1634.429;1623.156
R106_21x;1507.524;1525.243;5.914;1515.054;1514.24;11.301;22.962;4.383;18.177;18.8;3439;8113;1728.153;6098.1;6324.5;1507.524;1525.243;5.919;1515.068;1514.24;1.523;3.396;0.61;2.507;2.518;1534.81;1562.84;9.682;1546.308;1545.717
R107_21x;1427.988;1464.485;12.029;1449.495;1451.243;18.698;43.318;8.472;26.996;25.0;4989;11509;2022.721;7949.5;7894.5;1427.988;1464.485;12.145;1450.399;1453.876;2.591;13.339;3.935;5.494;3.876;1455.433;1503.36;17.545;1477.018;1474.264
R108_21x;1409.153;1440.311;9.284;1421.345;1421.047;11.624;26.941;4.305;18.442;18.784;2413;6337;1254.78;5037.0;5263.0;1409.153;1440.311;10.281;1422.403;1421.047;1.489;3.861;0.828;2.951;3.391;1426.345;1472.323;16.568;1449.581;1450.974
R109_21x;1462.278;1508.757;13.327;1480.668;1482.596;12.93;34.022;7.216;22.54;21.03;2840;10481;2509.55;6617.8;6755.5;1462.278;1517.903;15.725;1482.233;1484.077;1.142;18.406;4.911;4.729;3.438;1494.059;1551.638;19.536;1514.742;1509.39
R110_21x;1410.751;1497.465;23.854;1450.528;1453.503;16.283;44.175;9.54;29.968;29.546;2511;8491;1846.274;4888.4;4579.0;1410.751;1501.273;22.477;1453.601;1453.503;1.987;29.636;8.732;12.432;11.784;1412.813;1537.308;31.199;1477.648;1480.21
R111_21x;1418.642;1640.205;83.301;1484.226;1453.054;6.372;69.511;18.672;26.328;21.395;0;10991;3465.234;4853.6;4553.0;1418.642;1640.205;82.584;1490.88;1455.399;0.009;56.357;16.883;9.158;4.012;1438.23;1640.205;73.804;1517.135;1483.649
R112_21x;1373.655;1408.513;9.562;1387.151;1386.573;9.266;32.973;8.623;22.162;19.867;2329;7993;1843.835;5035.9;4499.5;1373.655;1408.513;10.686;1389.005;1386.687;1.327;18.327;5.875;7.214;5.184;1390.446;1434.267;13.851;1413.275;1415.972
R201_21x;1201.856;1213.705;3.591;1205.034;1204.784;40.021;58.138;6.987;49.946;52.9;14779;21966;2782.942;18839.8;20043.5;1201.856;1213.705;3.591;1205.034;1204.784;7.442;13.686;2.391;10.172;9.535;1201.856;1213.705;3.811;1205.402;1204.874
R202_21x;1121.362;1139.856;5.472;1129.433;1129.211;54.839;89.206;10.636;64.317;61.068;14847;23560;2749.774;18985.8;18736.5;1121.362;1139.856;5.473;1129.434;1129.211;18.459;35.61;5.205;27.317;27.646;1123.964;1147.158;8.036;1132.128;1130.54
R203_21x;1042.611;1055.697;4.578;1047.139;1044.814;74.043;110.035;9.882;84.259;81.288;17655;26023;2442.919;19469.8;18988.0;1042.611;1055.697;4.519;1047.216;1044.814;25.797;39.356;3.78;29.662;29.374;1045.353;1055.697;4.201;1050.442;1050.029
R204_21x;961.425;962.164;0.234;962.09;962.164;61.676;92.684;8.519;70.846;69.482;15095;20226;1383.37;17262.7;17037.0;961.425;962.164;0.234;962.09;962.164;24.173;54.965;8.402;33.171;31.883;962.164;967.222;1.635;964.098;964.106
R205_21x;1103.12;1117.034;4.192;1109.318;1108.223;47.19;92.245;13.136;64.817;63.456;14842;24406;3408.397;18559.3;17847.5;1103.12;1117.034;4.226;1109.342;1108.223;8.859;23.334;4.28;15.766;15.214;1103.12;1119.931;5.827;1111.371;1110.94
R206_21x;1074.749;1096.242;7.76;1082.61;1081.434;59.224;96.802;12.848;76.18;70.417;15867;23093;2616.705;19517.4;18911.5;1074.749;1096.242;7.541;1082.87;1081.434;18.67;42.055;6.575;27.786;25.002;1075.582;1098.075;7.732;1083.762;1081.438
R207_21x;1011.949;1023.945;4.048;1016.269;1014.98;74.046;93.007;6.619;82.12;80.136;16954;25217;2226.617;19469.8;19053.5;1011.949;1024.149;4.091;1016.289;1014.98;30.96;44.814;4.371;34.608;32.872;1011.949;1026.131;5.316;1018.49;1017.39
R208_21x;960.967;966.496;1.591;964.361;964.284;64.844;124.094;16.707;80.529;75.018;15239;20639;1860.848;17065.7;16844.0;960.967;966.496;1.591;964.363;964.296;21.978;67.565;12.242;35.45;33.88;962.07;971.339;2.629;965.769;966.216
R209_21x;1056.37;1063.562;2.516;1060.213;1061.254;71.969;110.284;10.249;84.2;81.148;17144;24667;1898.668;19792.4;19465.0;1056.37;1063.562;2.516;1060.213;1061.254;19.141;27.271;2.667;22.798;22.543;1056.37;1064.738;2.947;1060.536;1061.254
R210_21x;1035.17;1047.264;3.987;1041.612;1042.959;69.929;89.001;6.337;80.738;80.02;16430;20466;1317.682;18347.5;18566.5;1035.17;1047.264;4.033;1041.699;1043.225;19.305;35.72;4.971;29.759;31.521;1035.17;1047.264;4.093;1041.934;1043.721
R211_21x;994.745;1003.498;2.687;999.078;999.816;46.687;86.389;10.848;61.433;60.713;16484;25623;2571.639;18883.0;18570.0;994.745;1003.498;2.687;999.078;999.816;15.024;35.653;5.982;25.007;24.854;994.745;1004.856;3.725;1000.267;1000.76
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RC101_21x;1807.016;1867.881;18.22;1840.363;1837.911;13.283;44.404;8.914;24.059;23.032;2975;7215;1436.114;5021.2;5072.5;1807.016;1870.8;18.328;1847.993;1850.15;1.826;27.295;8.633;9.386;5.652;1850.715;1897.423;14.846;1881.766;1881.421
RC102_21x;1763.122;1808.276;14.562;1789.437;1793.162;17.473;48.692;10.186;29.696;28.474;3024;9226;1809.295;6781.7;6450.0;1763.122;1809.39;15.011;1789.94;1793.276;2.211;26.188;9.477;9.44;4.464;1800.318;1870.794;23.668;1827.756;1816.553
RC103_21x;1701.548;1736.378;12.518;1719.21;1719.34;13.738;31.759;6.208;22.138;20.031;4251;9846;2011.263;6846.0;6262.0;1701.548;1736.378;12.481;1719.778;1720.261;2.111;3.79;0.643;3.001;2.986;1744.965;1778.213;10.547;1757.582;1755.41
RC104_21x;1620.788;1664.817;14.589;1643.681;1648.178;14.555;26.949;4.832;20.067;18.496;4431;8834;1805.17;6464.1;5692.0;1620.788;1668.243;16.547;1645.32;1648.178;1.932;4.676;0.899;2.877;2.662;1682.167;1715.974;13.109;1697.282;1692.982
RC105_21x;1773.143;1841.895;22.725;1801.208;1801.892;11.004;42.377;9.904;25.555;22.813;1913;5655;1187.169;3688.6;3569.5;1773.929;1841.895;19.637;1803.921;1801.892;2.112;27.331;9.055;13.469;11.466;1821.299;1855.909;11.507;1836.963;1835.184
RC106_21x;1716.819;1750.099;9.864;1736.947;1739.443;9.598;40.184;9.068;20.709;18.814;3243;7592;1493.163;5342.1;5117.0;1716.819;1750.099;10.568;1738.485;1740.966;1.707;23.752;7.581;8.279;5.802;1761.379;1811.654;17.661;1779.834;1773.837
RC107_21x;1665.878;1702.243;11.403;1684.46;1680.526;10.216;20.225;3.096;13.598;13.166;2447;6241;1218.369;4371.0;4280.5;1667.381;1702.243;12.236;1686.217;1680.526;1.177;4.448;0.966;2.575;2.375;1709.345;1771.793;19.288;1740.646;1736.673
RC108_21x;1637.338;1665.229;9.225;1655.762;1657.697;9.313;19.751;3.391;13.24;12.468;2531;6784;1312.838;4341.4;4171.0;1641.281;1666.909;7.539;1659.463;1659.884;1.124;4.934;1.039;2.386;2.208;1688.934;1701.001;3.383;1695.796;1696.514
RC201_21x;1289.039;1301.995;4.153;1294.174;1295.026;36.018;52.285;5.909;46.865;48.951;12373;18608;2036.695;16056.6;16478.0;1289.039;1301.995;3.8;1294.612;1295.299;5.106;14.174;2.524;8.423;8.268;1289.039;1303.75;4.311;1295.061;1295.48
RC202_21x;1190.979;1214.535;8.009;1195.906;1191.058;44.322;58.261;4.2;51.444;50.894;14424;19550;1421.374;17377.8;17353.5;1190.979;1214.535;8.009;1195.906;1191.058;13.617;18.807;1.784;15.468;14.913;1190.979;1215.453;8.55;1196.296;1191.058
RC203_21x;1072.392;1078.376;2.002;1074.708;1074.421;42.639;65.199;7.427;50.815;48.407;13020;19347;2277.484;16321.2;16005.5;1072.392;1078.376;2.002;1074.708;1074.421;11.688;23.824;3.276;16.927;16.324;1072.392;1078.376;2.228;1075.488;1075.09
RC204_21x;1002.114;1034.672;9.48;1015.36;1012.337;57.772;136.527;25.02;75.54;63.616;12960;19585;2247.898;15225.2;14515.5;1002.114;1034.672;9.48;1016.248;1012.337;13.437;62.116;14.943;24.268;17.492;1012.337;1034.672;8.058;1020.936;1018.893
RC205_21x;1173.397;1180.38;2.949;1176.686;1177.371;42.746;55.278;3.579;49.535;50.231;13965;17628;1092.876;15742.7;15723.5;1173.397;1180.38;2.986;1176.778;1177.371;7.672;10.75;1.034;9.103;8.816;1173.397;1186.796;3.972;1178.941;1179.316
RC206_21x;1163.214;1166.453;1.0;1163.677;1163.214;42.862;63.818;8.324;52.673;50.23;13957;20255;2445.899;16937.2;16204.0;1163.214;1166.453;1.0;1163.677;1163.214;7.991;13.615;2.102;10.827;11.112;1163.214;1170.598;2.283;1164.134;1163.425
RC207_21x;1084.325;1094.781;3.051;1088.743;1088.653;37.395;61.366;7.652;47.084;44.262;13066;21249;2306.534;16398.3;15574.0;1084.325;1094.781;3.051;1088.743;1088.653;8.444;15.519;2.081;11.644;11.458;1086.493;1099.464;4.083;1091.164;1090.812
RC208_21x;1011.26;1043.191;10.487;1024.06;1022.008;48.788;78.456;9.891;60.064;57.44;12976;17025;1361.222;14911.5;14629.5;1011.26;1043.191;11.313;1024.863;1022.008;10.149;32.417;8.046;16.452;13.655;1015.457;1047.072;11.713;1027.171;1022.304
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
